type,priority,category,issue,enterpriseTier,flag,weekday,week,periods,previousDepartmentID,newDepartmentID,difference
1,2,3,12,0,0,5,1,2,48,141,2326065
1,2,3,12,0,0,4,5,2,141,48,786
1,2,3,6,0,0,5,1,2,48,141,3835
1,2,3,6,0,0,5,1,2,141,9,1070
1,2,3,6,0,0,5,1,1,9,141,1194
1,2,3,6,0,0,5,1,1,141,48,245742
1,2,3,6,0,0,2,2,1,48,141,1214783
1,2,3,6,0,0,2,4,2,141,48,519105
1,2,3,6,0,0,2,5,1,48,141,62066
1,2,3,6,0,0,3,5,1,141,48,1488
1,2,0,0,1,0,4,2,2,12,9,3311
1,1,3,8,0,0,5,1,2,46,36,2943334
1,1,3,8,0,0,2,2,1,36,47,365
1,1,3,8,0,0,3,2,3,171,47,5827
1,1,3,8,0,0,1,3,1,171,47,4593
1,1,3,8,0,0,2,3,3,171,47,9024
1,1,3,8,0,0,2,3,1,47,9,8922
1,1,3,8,0,0,3,3,3,171,47,12909
1,1,3,8,0,0,3,3,2,47,9,897
1,1,3,8,0,0,3,3,2,9,47,9781
1,1,3,8,0,0,3,3,1,47,9,4885
1,1,3,8,0,0,5,3,2,9,47,1111
1,1,3,8,0,0,5,3,2,47,9,951
1,1,3,8,0,0,1,5,1,9,47,298
1,1,3,8,0,0,1,5,1,47,9,1679
1,1,3,8,0,0,1,6,1,9,47,2475
1,1,3,8,0,0,4,6,2,171,36,5232
1,1,3,8,0,0,4,6,1,36,9,65158
1,1,3,8,0,0,3,7,1,9,36,340
1,1,3,8,0,0,1,9,1,36,47,1973
1,1,3,8,0,0,1,9,1,47,36,6673
1,1,3,8,0,0,2,9,1,46,36,8
1,1,3,8,0,0,2,9,1,36,12,4101
1,1,3,8,0,0,2,9,1,12,36,13880
1,1,3,8,0,0,4,9,1,36,9,4377
1,1,3,8,0,0,1,10,1,9,36,2945
1,1,3,8,0,0,1,10,1,36,9,393
1,2,1,0,0,0,4,1,2,171,9,5214
1,2,1,0,0,0,4,1,2,9,33,73057
1,2,1,0,0,0,5,1,1,33,47,3561
1,2,1,0,0,0,5,1,1,47,33,290
1,2,1,0,0,0,5,1,1,33,9,894
1,2,0,16,1,0,4,1,2,47,45,5579
1,2,0,16,1,0,4,1,1,45,33,750
1,2,0,16,1,0,4,1,1,33,45,2906
1,2,0,16,1,0,4,1,3,45,33,62575
1,2,0,16,1,0,5,1,2,33,45,842
1,2,0,16,1,0,5,1,2,45,33,1918
1,2,0,16,1,0,5,1,2,33,45,2541
1,2,0,16,1,0,5,1,1,45,33,234686
1,2,0,16,1,0,4,1,2,47,33,3827
1,2,0,16,1,0,4,1,1,33,47,858
1,2,0,16,1,0,4,1,1,47,33,65226
1,3,8,0,0,0,4,1,2,171,48,13239
1,3,8,0,0,0,4,1,1,48,141,1644187
1,3,8,0,0,0,2,4,3,141,48,79412
1,2,0,0,1,0,5,1,1,47,33,2396
1,2,0,0,1,0,5,2,3,33,47,26172
1,2,0,0,1,0,5,2,1,47,33,1322
1,2,0,0,1,0,5,2,3,33,47,231484
1,2,0,0,1,0,1,3,1,47,33,15655
1,1,9,8,0,1,0,1,1,171,9,67545
1,3,0,0,0,0,5,1,3,171,9,21713
1,2,1,0,0,1,4,1,2,171,12,80808
1,1,9,0,0,1,4,1,1,9,12,341254
1,2,0,16,1,0,5,1,1,47,33,11611
1,2,0,16,1,0,4,2,2,33,47,5975
1,2,0,16,1,0,4,2,1,47,33,839
1,2,0,16,1,0,5,1,2,47,33,1978
1,2,0,16,1,0,1,2,1,33,47,3145
1,2,0,16,1,0,1,2,1,47,33,2203
1,1,1,0,0,0,1,2,3,171,9,25648
1,2,1,16,1,0,4,1,1,171,9,331699
1,2,1,0,0,0,4,1,1,171,48,903
1,2,0,16,1,0,5,1,1,47,33,1356
1,2,0,16,1,0,5,1,1,33,47,802
1,2,0,16,1,0,5,1,1,47,33,232531
1,2,0,16,1,0,5,1,1,47,33,238917
1,2,0,16,1,0,1,2,2,33,47,8336
1,2,0,16,1,0,1,2,1,47,33,60255
1,2,3,6,0,0,2,2,2,48,141,524056
3,2,0,16,0,0,2,3,1,171,36,183668
1,1,3,8,0,0,6,1,3,171,9,144360
3,2,3,7,0,1,6,4,1,171,9,2768008
3,2,3,7,0,1,2,9,1,36,9,69120
3,2,3,7,0,1,5,9,1,9,36,237031
1,0,1,0,0,0,4,1,3,171,48,58727
1,0,1,0,0,0,4,1,3,48,9,55191
1,0,1,0,0,0,5,1,3,9,48,3497
1,2,3,7,0,1,4,1,3,171,12,727
1,1,1,0,0,0,5,1,3,171,9,14779
1,1,9,16,0,0,5,1,1,9,36,3530
1,1,9,16,0,0,5,1,1,36,9,686
1,1,9,16,0,0,5,1,1,9,36,20278
1,1,9,16,0,0,4,3,2,36,9,9241
1,1,9,16,0,0,1,4,2,9,36,3176
1,1,9,16,0,0,1,4,2,36,9,411
1,1,9,16,0,0,3,4,1,9,36,1570
1,1,9,16,0,0,3,4,1,36,9,437
1,1,9,16,0,0,3,4,1,36,9,122
1,2,0,0,1,0,6,1,1,171,33,150782
1,2,0,0,1,0,1,2,1,171,12,85940
1,2,0,0,1,0,2,2,1,171,33,1208
1,2,0,0,1,0,0,2,3,171,33,176963
1,0,3,0,0,0,5,1,1,48,12,257701
1,0,3,0,0,0,1,2,1,12,48,6527
4,2,0,16,0,0,5,1,2,47,33,5317
4,2,0,16,0,0,5,1,2,33,8,502475
4,2,0,16,0,0,4,2,3,8,33,226
4,2,0,16,0,0,4,2,1,33,36,1228261
4,2,0,16,0,0,4,4,2,36,33,1287961
4,2,0,16,0,0,5,6,2,33,36,6232
4,2,0,16,0,0,5,6,2,36,33,6351
4,2,0,16,0,0,5,6,1,33,36,375
1,2,0,8,0,1,5,1,1,48,141,2329764
1,1,9,16,0,0,1,2,3,9,33,56206
1,1,9,16,0,0,2,2,1,33,9,1740
1,1,9,16,0,0,2,2,2,9,33,251
1,1,9,16,0,0,2,2,2,33,9,1099
1,3,8,9,0,0,5,1,2,171,9,256683
1,1,1,8,0,0,5,1,2,171,9,11417
1,2,0,16,0,0,5,1,1,47,33,397
1,2,0,16,0,0,5,1,1,33,47,1123
1,2,0,16,1,0,5,1,1,47,33,235809
1,2,0,16,1,0,1,2,1,33,47,1890
1,2,0,16,1,0,1,2,1,47,33,16916
1,2,0,16,1,0,5,1,1,47,33,231563
1,2,0,16,1,0,1,2,1,33,47,6508
1,2,0,16,1,0,1,2,2,47,33,9894
1,2,0,16,1,0,2,2,1,33,47,568
1,2,0,16,1,0,2,2,1,47,33,650
1,2,0,16,1,0,5,1,1,47,33,231347
1,2,0,16,1,0,1,2,1,33,47,893
1,2,0,16,1,0,1,2,2,47,33,82661
1,2,0,16,1,0,1,2,2,47,33,6560
1,2,0,16,1,0,1,2,1,33,47,77757
1,2,0,16,1,0,2,2,2,47,33,157338
1,2,0,16,1,0,4,2,1,33,47,1736
1,2,0,16,1,0,4,2,1,47,33,941
1,2,0,16,1,0,4,2,1,33,47,2354
1,2,0,16,1,0,4,2,1,47,33,87830
3,2,0,7,0,1,5,1,2,9,36,5986
1,2,0,7,0,0,5,1,2,9,36,4211
1,2,0,7,0,0,5,1,2,46,9,244821
1,2,0,16,1,0,1,2,1,47,33,2777
1,2,0,16,1,0,1,2,1,33,47,1233
1,2,0,16,1,0,1,2,1,47,33,65668
1,2,0,16,1,0,2,2,1,33,47,14850
1,2,0,16,1,0,2,2,1,47,33,151493
1,2,0,16,1,0,4,2,1,33,47,874
1,2,0,16,1,0,4,2,1,47,33,365
1,4,9,8,0,0,1,2,1,9,141,20970
1,4,9,8,0,0,1,2,1,141,9,430
1,4,9,8,0,0,1,2,1,9,141,733
1,4,9,8,0,0,4,2,2,141,9,94867
1,2,1,0,0,0,5,1,2,171,48,6973
1,2,3,0,0,0,5,1,2,171,48,422394
1,3,3,9,0,1,5,1,2,171,12,246225
1,3,8,12,0,0,5,1,2,171,48,2722
1,2,3,0,0,0,1,2,1,48,141,1215509
1,2,0,8,0,0,5,1,1,83,9,427
1,2,0,8,0,0,0,1,1,171,9,67276
1,2,0,8,0,0,1,2,1,9,83,22814
1,2,0,8,0,0,1,2,1,83,9,157
4,1,0,6,0,0,2,2,1,9,36,921
4,1,0,6,0,0,2,2,1,36,9,525
4,1,0,6,0,0,2,2,1,9,36,18996
4,1,0,6,0,0,4,2,1,36,9,16104
4,1,0,6,0,0,4,2,1,9,36,434888
4,1,0,6,0,0,2,3,1,36,9,898
1,2,0,0,1,0,5,1,1,47,33,229835
1,2,0,7,1,0,1,2,2,46,9,94014
1,2,0,7,1,0,2,3,1,9,47,187436
1,2,0,7,1,0,4,3,2,47,9,94551
1,2,0,7,1,0,5,5,2,9,62,337057
1,1,0,7,1,0,2,2,1,171,9,153045
1,2,0,0,1,0,2,2,2,47,33,16311
1,2,1,0,0,0,5,1,1,171,9,5560
1,1,1,6,0,1,0,1,1,171,12,150169
3,2,1,8,0,0,1,5,2,9,36,98875
1,2,0,16,0,0,1,2,1,47,33,7920
1,2,0,16,0,0,1,2,2,33,47,865
1,2,0,16,0,0,1,2,2,47,33,4862
1,2,0,16,0,0,1,2,1,33,47,2398
1,2,0,16,0,0,1,2,1,47,33,66030
1,2,0,0,0,0,1,2,3,9,36,577081
1,2,0,0,0,0,1,3,1,36,9,184755
1,2,0,0,0,0,5,3,1,9,36,227031
1,2,0,0,0,0,1,4,3,36,9,28416
1,2,0,16,0,1,1,2,1,47,33,841
1,2,0,16,0,1,1,2,1,33,47,1912
1,2,0,16,0,1,1,2,2,47,33,188692
1,2,0,7,0,0,1,2,1,36,9,25224
1,2,0,7,0,0,1,2,3,9,36,57456
1,1,3,0,0,0,5,1,1,171,68,245645
1,1,3,0,0,0,1,2,2,68,38,9722
1,3,3,0,0,0,5,1,1,171,48,1772
1,3,3,0,0,0,2,3,1,171,48,73110
1,3,3,0,0,0,3,3,2,171,48,615781
1,1,1,16,0,0,5,1,1,171,9,239075
1,1,1,16,0,0,5,3,2,171,9,758
1,1,1,16,0,0,1,5,1,9,62,58677
1,1,1,8,0,0,5,1,1,171,9,237538
1,2,0,16,1,0,1,2,2,47,33,7008
1,2,0,16,1,0,1,2,1,33,47,67601
1,2,0,16,1,0,2,2,1,47,33,490
1,2,1,8,0,0,5,1,1,171,48,955
1,2,1,8,0,0,0,4,1,171,48,66301
1,2,1,6,0,0,5,1,1,171,9,233044
1,3,3,0,0,0,0,1,3,171,9,57254
1,2,1,6,0,0,3,2,1,171,19,1389
1,2,1,6,0,0,3,2,1,171,62,714
1,2,1,6,0,0,3,2,2,62,19,2363
1,2,1,6,0,0,3,2,2,19,62,358
1,2,1,7,0,0,5,4,3,171,9,355162
1,1,9,7,0,0,4,2,2,9,36,4794
1,1,9,7,0,0,4,2,1,36,9,2096
1,3,8,16,1,0,1,2,1,171,12,4140
1,3,0,8,0,0,1,2,1,171,48,1780
1,3,0,8,0,0,1,2,1,48,12,6904
1,3,0,8,0,0,1,2,2,12,48,1139
1,3,0,16,1,0,1,2,2,47,45,1246
3,2,0,7,0,1,1,2,1,9,36,18064
1,2,0,0,1,0,1,2,2,36,33,6415
1,2,0,0,1,0,2,2,1,9,33,63755
1,2,0,0,0,0,1,2,2,47,33,4942
1,2,0,0,0,0,1,2,2,33,47,916
1,2,0,0,0,0,1,2,2,47,33,74206
3,2,0,7,0,1,1,2,1,9,36,22629
3,2,0,7,0,1,1,2,1,9,36,21979
1,3,3,9,0,0,1,2,1,48,141,1466193
1,1,1,8,1,1,2,2,1,171,68,4170
3,2,0,7,0,1,1,2,1,9,36,8087
1,2,0,16,1,0,1,2,1,47,33,1118
1,2,0,16,1,0,1,2,1,33,47,5391
1,2,0,16,1,0,1,2,1,47,33,58855
1,2,0,16,1,0,2,2,1,33,47,9167
1,2,0,16,1,0,2,2,2,47,33,594
1,1,1,16,1,1,1,3,1,171,12,174319
1,2,0,16,1,0,2,2,2,47,33,1445
1,2,0,16,1,0,3,2,1,33,47,3472
1,2,0,16,1,0,3,2,1,47,33,63877
3,1,1,0,0,1,1,2,1,9,47,10510
3,1,1,0,0,1,1,2,2,47,9,250
3,1,1,0,0,1,5,2,1,9,47,14941
3,1,1,0,0,1,5,2,2,47,9,10140
3,1,1,0,0,1,2,3,1,9,47,2577
3,1,1,0,0,1,2,3,1,47,9,214
3,1,1,0,0,1,2,3,1,9,47,131
3,1,1,0,0,1,2,3,1,47,9,145
3,1,1,0,0,1,2,3,1,9,36,1312
3,1,1,0,0,1,2,3,1,36,9,491
3,1,1,0,0,1,3,3,1,9,36,93071
3,1,1,0,0,1,4,3,2,36,9,335707
3,1,1,0,0,1,2,4,1,9,36,11694
3,1,1,0,0,1,2,4,2,36,9,625
3,1,1,0,0,1,3,4,1,9,36,100018
3,1,1,0,0,1,4,4,2,46,47,8383
3,1,1,0,0,1,5,4,1,47,36,232623
3,1,1,0,0,1,1,5,3,36,47,8849
3,1,1,0,0,1,2,5,1,47,36,119431
1,2,0,16,0,0,1,2,1,47,33,2168
1,2,0,16,0,0,4,2,1,33,47,3460
1,2,0,16,0,0,4,2,2,47,33,9657
1,1,1,15,0,0,3,3,1,171,9,70845
1,2,0,16,0,0,1,2,2,47,33,3626
1,2,0,16,0,0,1,2,1,33,47,338
1,2,0,16,0,0,1,2,1,47,33,3361
1,2,0,16,0,0,4,2,1,33,47,1259
1,2,0,16,0,0,4,2,1,47,33,442
1,2,0,16,0,0,1,2,1,47,33,1034
1,1,1,16,0,0,5,8,1,68,9,349793
1,2,3,8,0,1,0,3,1,171,12,79307
1,2,0,16,0,0,1,2,1,36,33,81488
1,2,0,0,0,0,1,2,2,141,48,282
1,2,0,0,0,0,1,2,2,48,141,4569
1,2,0,0,0,0,1,2,2,141,48,1091
1,2,0,0,0,0,1,2,1,48,12,67358
1,2,0,0,0,0,2,2,1,12,48,2881
1,2,0,0,0,0,2,2,1,48,141,10736
1,2,0,0,0,0,2,2,2,141,48,250861
1,2,0,0,0,0,2,2,2,48,141,245963
1,2,0,0,0,0,5,2,1,141,48,4312
1,2,0,6,1,0,3,2,2,12,9,10486
1,2,0,6,1,0,4,2,1,12,9,11075
1,2,0,8,1,0,1,2,1,12,9,76726
1,2,0,8,1,0,5,2,1,12,9,19319
1,2,0,16,1,0,1,2,1,47,33,61553
1,2,0,16,1,0,4,3,1,33,47,1586
1,2,0,16,1,0,4,3,1,47,33,1856
1,2,0,16,1,0,4,3,1,33,47,751
1,2,0,16,1,0,4,3,1,47,33,1136
1,1,9,7,0,0,2,3,2,9,36,9194
1,1,9,7,0,0,2,3,1,36,9,1497
1,1,9,7,0,0,3,5,2,171,9,9904
1,3,8,0,0,0,1,2,2,171,48,17519
1,3,8,0,0,0,1,2,3,48,141,164715
1,3,8,0,0,0,3,2,1,141,48,3576
1,2,0,16,1,0,2,2,2,47,33,2026
1,2,0,16,1,0,4,2,1,33,47,2675
1,2,0,16,1,0,4,2,1,47,33,2912
1,2,0,16,1,0,1,3,1,33,47,15701
1,2,0,16,1,0,1,3,2,47,33,1394
1,2,0,16,1,0,2,4,2,33,47,3323
1,2,0,16,1,0,2,4,2,47,33,71143
1,2,0,16,1,0,1,2,1,47,33,553
1,2,0,16,1,0,3,2,2,33,47,4268
1,2,0,16,1,0,3,2,1,47,33,65172
1,2,0,16,1,0,4,2,3,33,47,5134
1,2,0,16,1,0,4,2,1,47,33,364
1,2,0,16,1,0,2,2,1,47,33,162
1,2,0,16,1,0,3,2,2,33,47,1337
1,2,0,16,1,0,3,2,2,47,33,68495
1,2,0,16,1,0,4,2,1,33,47,2492
1,2,0,16,1,0,4,2,1,47,33,718
1,2,0,16,1,0,2,2,1,47,33,2867
1,2,0,16,1,0,3,2,2,33,47,4532
1,2,0,16,1,0,3,2,1,47,33,65682
3,1,1,0,0,1,1,3,2,36,141,252578
3,1,1,0,0,1,4,3,1,141,36,3311
3,1,1,0,0,1,4,3,2,36,141,9713
3,1,1,0,0,1,4,3,1,141,36,1701
1,2,3,0,0,0,2,4,1,48,141,889122
1,1,9,7,0,0,1,2,1,9,47,61428
1,1,9,7,0,0,2,2,1,47,9,1285
1,1,9,7,0,0,2,2,2,9,47,6479
1,1,9,7,0,0,2,2,1,47,9,2109
1,1,9,7,0,0,5,2,1,9,47,235865
1,1,9,7,0,0,1,3,3,47,9,92541
1,2,0,16,0,0,1,2,1,47,33,183
1,2,0,16,0,0,2,2,3,33,47,18022
1,2,0,16,0,0,2,2,2,47,33,2275
1,2,1,0,0,0,1,2,1,171,9,500
1,2,1,0,0,0,2,3,2,9,12,4384
1,2,1,0,0,0,2,3,2,12,9,4245
1,2,1,0,0,0,4,3,1,9,12,11032
1,2,0,16,1,0,1,2,1,33,47,8699
1,2,0,16,1,0,1,2,3,47,33,59979
1,2,0,16,1,0,2,2,2,47,33,3185
1,2,0,16,1,0,3,2,3,33,47,3597
1,2,0,16,1,0,3,2,1,47,33,1372
1,3,0,16,0,0,2,2,1,171,9,4813
1,1,3,7,0,1,0,2,1,171,19,12151
1,2,3,8,0,1,2,2,1,171,12,1296
1,2,1,16,0,0,3,2,3,9,47,2187
1,2,1,16,0,0,3,2,1,47,33,1225
1,2,1,16,0,0,3,2,1,33,36,113356
1,2,0,16,1,0,2,2,2,47,33,69590
1,2,0,16,1,0,3,2,1,33,47,627
1,2,0,16,1,0,3,2,1,47,33,5866
3,3,0,0,0,1,2,2,1,36,9,14556
3,3,0,0,0,1,2,2,2,9,36,1185
3,3,0,0,0,1,2,2,1,36,9,763247
3,3,0,0,0,1,2,5,1,9,36,1296
3,3,0,0,0,1,2,5,1,36,9,5275
3,3,0,0,0,1,2,5,1,9,36,3525
3,3,0,0,0,1,2,5,2,36,9,9072
3,3,0,0,0,1,2,5,1,9,36,808
3,3,0,0,0,1,2,5,1,36,9,22535
3,3,0,0,0,1,5,5,1,9,36,360173
1,1,9,0,0,0,2,2,2,9,36,530298
1,1,9,0,0,0,1,3,2,171,36,13411
3,1,9,0,0,1,2,2,2,9,36,539171
3,1,9,0,0,1,1,3,2,171,36,22136
3,1,9,0,0,1,2,3,2,36,9,1648
3,1,9,0,0,1,2,3,1,9,36,861
1,4,0,8,0,0,2,2,2,171,48,6015
1,4,0,8,0,0,3,2,1,48,12,865
1,4,0,8,0,0,3,2,1,12,48,3447
1,4,0,8,0,0,3,2,1,48,141,436554
1,4,0,8,0,0,1,3,2,141,48,169175
1,1,9,7,0,1,4,2,1,171,9,5035
1,2,0,16,0,0,2,2,2,47,33,66984
1,2,0,16,0,0,3,2,1,33,47,1871
1,2,0,16,0,0,3,2,1,47,33,9012
1,2,8,12,0,0,2,2,2,171,48,309
1,2,8,12,0,0,5,2,1,141,48,326988
1,2,3,16,0,1,0,2,1,171,12,67709
1,2,0,16,1,0,2,2,1,47,33,59224
1,2,0,16,1,0,3,2,2,33,47,544
1,2,0,16,1,0,3,2,2,47,33,68983
1,2,0,16,1,0,2,2,1,47,33,3744
1,2,0,16,1,0,4,4,1,33,47,1257
1,2,0,16,1,0,4,4,1,47,33,2998
1,2,0,16,1,0,4,4,1,33,47,4662
1,2,0,16,1,0,4,4,2,47,33,2247
1,2,1,14,0,1,3,4,1,171,12,84126
1,2,0,16,0,0,3,2,1,47,33,8129
1,2,0,16,0,0,4,2,1,33,47,7507
1,2,0,16,0,0,4,2,2,47,33,341
1,2,0,16,0,0,4,2,2,33,47,9563
1,2,3,0,0,0,3,2,1,9,33,12673
1,2,3,0,0,0,3,2,1,33,9,83059
1,2,3,0,0,0,4,4,1,9,33,95553
1,2,3,0,0,0,5,4,2,33,9,253194
1,2,3,0,0,0,2,5,3,9,33,47075
1,2,3,0,0,0,3,5,1,33,47,3543
1,2,3,0,0,0,3,5,1,47,33,3657
